104 ST,55580
AVE I,54774
W 8 ST-AQUARIUM,54549
AQUEDUCT TRACK,52107
215 ST,51269
MORRIS PARK,49927
BUSHWICK AVE,46997
55 ST,44649
BEACH 25 ST,44079
ATLANTIC AVE,43825
BOTANIC GARDEN,41762
VAN ALSTON-21ST,40838
WHITLOCK AVE,40495
NEPTUNE AVE,40288
22 AVE-BAY PKY,37126
OXFORD-104 ST,36971
CYPRESS HILLS,35777
AQUEDUCT-N CNDT,28840
E 143 ST,22350
BEACH 36 ST,22302
BEACH 90 ST,20424
TOMPKINSVILLE,18399
ROCKAWAY PK 116,16274
NEWARK HM HE,15947
BEACH 44 ST,15305
PATH WTC 2,13069
BEACH 98 ST,12662
BROAD CHANNEL,7624
BEACH 105 ST,6237
BUHRE AVE,29
ZEREGA AVE,8
